    tprime_i    fprime_i    tprime_e          ky       omega       gamma       omlin       gmlin      omlina      gmlina      omquad      gmquad     omquada     gmquada
 
 
 
 
 
 
  0.2000E+00  0.2000E+01  0.2000E+01  0.2000E+00 -0.1555E-01  0.1132E+00 -0.2477E+00  0.0000E+00 -0.3683E+00  0.0000E+00 -0.1239E+00  0.1939E+00 -0.1238E+00  0.1938E+00
 
  0.2000E+00  0.2000E+01  0.2000E+01  0.2000E+00 -0.1555E-01  0.1132E+00 -0.2477E+00  0.0000E+00 -0.3683E+00  0.0000E+00 -0.1239E+00  0.1939E+00 -0.1238E+00  0.1938E+00
 
  0.2000E+00  0.2000E+01  0.2000E+01  0.2000E+00 -0.1555E-01  0.1132E+00 -0.2477E+00  0.0000E+00 -0.3683E+00  0.0000E+00 -0.1239E+00  0.1939E+00 -0.1238E+00  0.1938E+00
 
  0.2000E+00  0.2000E+01  0.2000E+01  0.2000E+00 -0.1555E-01  0.1132E+00 -0.2477E+00  0.0000E+00 -0.3683E+00  0.0000E+00 -0.1239E+00  0.1939E+00 -0.1238E+00  0.1938E+00
 
  0.2000E+00  0.2000E+01  0.2000E+01  0.2000E+00 -0.1555E-01  0.1132E+00 -0.2477E+00  0.0000E+00 -0.3683E+00  0.0000E+00 -0.1239E+00  0.1939E+00 -0.1238E+00  0.1938E+00
 
  0.2000E+00  0.2000E+01  0.2000E+01  0.2000E+00 -0.1555E-01  0.1132E+00 -0.2477E+00  0.0000E+00 -0.3683E+00  0.0000E+00 -0.1239E+00  0.1939E+00 -0.1238E+00  0.1938E+00
 
  0.2000E+00  0.2000E+01  0.2000E+01  0.3000E+00  0.1786E-01  0.1748E+00 -0.3408E+00  0.0000E+00 -0.5005E+00  0.0000E+00 -0.1704E+00  0.2764E+00 -0.1698E+00  0.2756E+00
 
  0.2000E+00  0.2000E+01  0.2000E+01  0.3000E+00  0.1786E-01  0.1748E+00 -0.3408E+00  0.0000E+00 -0.5005E+00  0.0000E+00 -0.1704E+00  0.2764E+00 -0.1698E+00  0.2756E+00
 
  0.2000E+00  0.2000E+01  0.2000E+01  0.3000E+00  0.1786E-01  0.1748E+00 -0.3408E+00  0.0000E+00 -0.5005E+00  0.0000E+00 -0.1704E+00  0.2764E+00 -0.1698E+00  0.2756E+00
 
  0.2000E+00  0.2000E+01  0.2000E+01  0.3000E+00  0.1786E-01  0.1748E+00 -0.3408E+00  0.0000E+00 -0.5005E+00  0.0000E+00 -0.1704E+00  0.2764E+00 -0.1698E+00  0.2756E+00
 
  0.2000E+00  0.2000E+01  0.2000E+01  0.3000E+00  0.1786E-01  0.1748E+00 -0.3408E+00  0.0000E+00 -0.5005E+00  0.0000E+00 -0.1704E+00  0.2764E+00 -0.1698E+00  0.2756E+00
 
  0.2000E+00  0.2000E+01  0.2000E+01  0.3000E+00  0.1786E-01  0.1748E+00 -0.3408E+00  0.0000E+00 -0.5005E+00  0.0000E+00 -0.1704E+00  0.2764E+00 -0.1698E+00  0.2756E+00
 
