    tprime_i    fprime_i    tprime_e          ky       omega       gamma       omlin       gmlin      omlina      gmlina      omquad      gmquad     omquada     gmquada
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3336E+00  0.3004E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4331E+00  0.4446E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3336E+00  0.3004E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4331E+00  0.4446E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3336E+00  0.3004E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4331E+00  0.4446E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3336E+00  0.3004E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4331E+00  0.4446E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3336E+00  0.3004E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4331E+00  0.4446E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3336E+00  0.3004E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4331E+00  0.4446E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.4818E+00  0.7493E+00 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6794E+00  0.9567E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.4818E+00  0.7493E+00 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6794E+00  0.9567E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.4818E+00  0.7493E+00 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6794E+00  0.9567E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.4818E+00  0.7493E+00 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6794E+00  0.9567E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.4818E+00  0.7493E+00 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6794E+00  0.9567E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.4818E+00  0.7493E+00 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6794E+00  0.9567E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00 -0.3316E+00  0.1276E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6165E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00 -0.3316E+00  0.1276E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6165E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00 -0.3316E+00  0.1276E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6165E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00 -0.3316E+00  0.1276E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6165E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00 -0.3316E+00  0.1276E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6165E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00 -0.3316E+00  0.1276E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6165E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1227E+00  0.1728E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.2239E+00  0.1859E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1227E+00  0.1728E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.2239E+00  0.1859E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1227E+00  0.1728E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.2239E+00  0.1859E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1227E+00  0.1728E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.2239E+00  0.1859E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1227E+00  0.1728E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.2239E+00  0.1859E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1227E+00  0.1728E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.2239E+00  0.1859E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.5000E+00  0.8046E+00  0.1983E+01  0.5049E+00  0.0000E+00  0.6410E+00  0.0000E+00  0.2524E+00  0.2046E+01  0.4145E+00  0.1939E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.5000E+00  0.8046E+00  0.1983E+01  0.5049E+00  0.0000E+00  0.6410E+00  0.0000E+00  0.2524E+00  0.2046E+01  0.4145E+00  0.1939E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.5000E+00  0.8046E+00  0.1983E+01  0.5049E+00  0.0000E+00  0.6410E+00  0.0000E+00  0.2524E+00  0.2046E+01  0.4145E+00  0.1939E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.5000E+00  0.8046E+00  0.1983E+01  0.5049E+00  0.0000E+00  0.6410E+00  0.0000E+00  0.2524E+00  0.2046E+01  0.4145E+00  0.1939E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.5000E+00  0.8046E+00  0.1983E+01  0.5049E+00  0.0000E+00  0.6410E+00  0.0000E+00  0.2524E+00  0.2046E+01  0.4145E+00  0.1939E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.5000E+00  0.8046E+00  0.1983E+01  0.5049E+00  0.0000E+00  0.6410E+00  0.0000E+00  0.2524E+00  0.2046E+01  0.4145E+00  0.1939E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.6000E+00  0.1604E+01  0.1992E+01  0.1817E+01  0.0000E+00  0.2072E+01  0.0000E+00  0.9087E+00  0.1893E+01  0.1127E+01  0.1638E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.6000E+00  0.1604E+01  0.1992E+01  0.1817E+01  0.0000E+00  0.2072E+01  0.0000E+00  0.9087E+00  0.1893E+01  0.1127E+01  0.1638E+01
 
