    tprime_i    fprime_i    tprime_e    fprime_e         omd          kx          ky          kz       omega       gamma
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.1000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.1000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.1000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.1000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.1000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.1000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.2000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.2000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.2000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.2000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.2000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.2000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.3000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.3000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.3000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.3000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.3000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
  0.2020E+01  0.2800E+00  0.2020E+01  0.2800E+00  0.1000E+01  0.0000E+00  0.3000E+00  0.0000E+00  0.1740E+00  0.7700E-01
 
